Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Date Started,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
21795431,মুক্তিযুদ্ধের ইতিহাস,Muhammed Zafar Iqbal,"Iqbal, Muhammed Zafar",,,,5,4.45,প্রতীতি,Paperback,22,2008,2008,,9/2/2014,,,,read,,,,1,,,0,,,,,
12658634,পাহাড়ে ফেলুদা,Satyajit Ray,"Ray, Satyajit",,8172154976,9.78817E+12,5,4.55,Ananda Publisher,Hardcover,405,,,,9/2/2014,,,,read,,,,1,,,0,,,,,
17736334,কাগজের বউ,Sirshendu Mukhopadhyay,"Mukhopadhyay, Sirshendu",,8170664306,9.78817E+12,3,3.41,আনন্দ পাবলিশার্স প্রাঃ লিঃ,,,,,,9/2/2014,,,,read,,,,1,,,0,,,,,
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,62255657,9.78006E+12,4,3.99,William Morrow Books,Hardcover,181,2013,2013,9/1/2014,7/28/2014,8/29/2014,,,read,,,,1,,,0,,,,,
16304,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha","Oreste del Buono, Lidia Zazo",425200450,9.78043E+12,5,4.16,Berkley,Paperback,322,2004,1934,8/28/2014,8/27/2014,8/26/2014,,,read,,,,1,,,0,,,,,
16343,The Mysterious Affair at Styles (Hercule Poirot #1),Agatha Christie,"Christie, Agatha",,646418432,9.78065E+12,5,3.98,Deodand,Paperback,294,2002,1920,8/29/2014,8/28/2014,8/28/2014,,,read,,,,1,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,312330871,9.78031E+12,4,4.23,St. Martin's Griffin,Paperback,264,2004,1939,8/26/2014,8/25/2014,8/25/2014,,,read,,,,1,,,0,,,,,
11870085,The Fault in Our Stars,John Green,"Green, John",,525478817,9.78053E+12,3,4.26,Dutton Books,Hardcover,313,2012,2012,8/24/2014,8/12/2014,8/21/2014,,,read,,,,1,,,0,,,,,
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,965341984,9.78097E+12,4,4.17,Knopf,Paperback,607,1997,1994,8/21/2014,7/26/2014,7/30/2014,,,read,"The book was nice at first, but as it progressed, it became more and more incoherent. Such is to be expected from a book which deals little with this reality and much with the parallel, darker kind of worlds. Although, the finishing was quite adeptly laid out, and the way everything came to an end and the explanations which are given is not unsatisfying, that is for sure.<br/>The scenarios are vivid, and the feelings the writer wanted to express came to life with a certain grace, so I'd give him that, but as the only book I read of Murakami was Norwegian Woods, I wasn't certainly expecting something like this.<br/>4 out of 5 stars seems fair to me.",,,1,,,0,,,,,
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,385537859,9.78039E+12,3,3.81,Doubleday,Hardcover,461,2013,2013,3/1/2014,8/12/2014,2/20/2014,,,read,,,,1,,,0,,,,,
